,Transcription,Emotion
2381,"I mean, you can take those things out of a war, but when you drive that car, you've gotta know that it came out of the love a man can have for a man.  You've gotta be a little better because of it.",sad
2382,Because otherwise all you have is really loot and there's blood on it.  And I didn't want to take any of it.  And I guess that included you.,sad
2383,You still feel that way?,sad
2384,I want you now Annie.,xxx
2385,"'Cause you mustn't feel that way.  Because you have a right to everything that you have.  Do you understand that?  Everything, Chris, and me too.",xxx
2386,"I mean, and your money, there's nothing wrong with your money.  I mean, your father put hundreds of planes in the air.  A man should be paid for that.",xxx
2387,"I know Annie.  Annie, I'm gonna make a fortune for you.",xxx
2388,What'll I do with a fortune?,hap
2389,What time is it?  They're supposed to run around midnight.,exc
2390,"This is great, isn't it?  Look at the night we've got here, couldn't be better.",exc
2391,"I would have liked to have gone a little further up the coast to get away from the lights and the people, but I was afraid we'd miss it.",exc
2392,How you doing?,exc
2393,Fine.,xxx
2394,Is that--no--is that just foam?  I can't even tell.,exc
2395,"Well, I guess we can tell, it probably isn't right?  Probably be unmistakable don't you think?",exc
2396,"How you doing?  Aw, you know what I forgot?  I forgot to bring my flashlight.  Oh, how could I be so stupid?  I should've brought my flashlight.",exc
2397,What flashlight?,neu
2398,"You know, the flashlight, the silver one.  There's only one isn't there?",xxx
2399,That's not your flashlight.,xxx
2400,Who's is it?,xxx
2401,It's ours.  It's mine too.,xxx
2402,"Oh, well sure.",neu
2403,"You kept saying my flashlight, if as if somehow it's just yours.  I mean is that supposed to make me feel?",xxx
2404,"Right, of course.  Our flashlight.  Mine and yours.  I mean, me flashlight is su flashlight naturally.",neu
2405,How could we forget to bring it?  I hope the moon stays out.,xxx
2406,"I wonder, do they always run during a full moon?  I can't remember if it was full last year.  Do you remember?",neu
2407,Yeah.,neu
2408,"You cold?  Do you want my jacket?  Oh, we should've brought the blanket.  Our blanket.",neu
2409,"This is great, isn't it?  A six pack would be just the ticket right now.",exc
2410,I can't believe I forgot.  I'm like a kid.  It's amazing I got out of the house with my fly zipped.,exc
2411,You think they can hear us talk?  Or feel the vibrations in the sand when we move around?,exc
2412,I'm cold.,xxx
2413,Do you want my jacket?,neu
2414,"It's after eleven, let's just go home.",fru
2415,Are you kidding?  We'd miss it.  We just got here.  What's the point of coming down here if we just turn around and go home.,xxx
2416,There is no point in coming down here.,xxx
2417,Right.,neu
2418,That's my point.,xxx
2419,That's my point too.,neu
2420,"So, let's go.",xxx
2421,No. No. That's not my point.  The point is there's no point in coming down if we just leave.  Don't you want to see it?,neu
2422,Not particularly.,xxx
2423,Why not?,xxx
2424,I just don't.  It's stupid.,xxx
2425,"Honey, this is a natural phenomenon.  I mean this only happens once a year, you know.",xxx
2426,"Think about the people in Kansas, they had to get plane tickets and hotel reservations to see this.  We live forty minutes away.  It's too good to pass up.",exc
2427,"Pass up what?  These little fish swim onto the beach, they flop around, and swim away.  And then they die.",fru
2428,"Yeah, but that moment on the beach, is the highlight of their little lives.  All that flopping is laying eggs or what do you--spawning or mating.  I mean,",exc
2429,this is a big night for these guys.  Life's last orgy.,exc
2430,"What are you so excited about?  I mean, it's not a moon landing we're talking about here.  It's fish.  It's a fish nobody even eats.",fru
2431,Yeah they do.,fru
2432,"Ah, Augie.",fru
2433,Alright.  But it's fish that do something that none of the other fish do.  Like the swallows returning to Capistrano or the lemmings throwing themselves off the cliffs.,exc
2434,There's--there's a bit of the magic--some unexplainable here.  I don't see how you can not be interested.,xxx
2435,I'm just not.,fru
2436,For real?,xxx
2437,Yeah.,xxx
2438,"I don't get it.  The first time we came here, you said it was the best night of your life.",neu
2439,"And last year, I remember specifically you were so excited to go that you stubbed your toe rushing me out of the house and didn't even notice until we got in the car.",xxx
2440,"Last year, you will also remember our shoes got wet, I got sand in my panties, you got a sore throat, we got in a big fight over nothing, and we didn't see the grunions.",fru
2441,We weren't in a good spot.,neu
2442,We didn't see them the first time either.,neu
2443,"We just weren't in a good spot.  This is a much better spot.  Believe me, I've got good instincts for these things.",xxx
2444,There is that--no that's just seaweed isn't it?,exc
2445,"Oh man, this is great, isn't it?  I wouldn't miss this for anything.  Here, think about this, all right, I know you're not interested, but think about this.",exc
2446,"Somewhere out there, this huge mass of silver fish swimming this way.",xxx
2447,"They don't know why, we don't know why.  Nobody sent them an invitation or a map, it wasn't a decision, just-",xxx
2448,"all as one, this time release instinctual little firecracker went off and they all turned and formed a line as long as the California coast and started swimming.  And they're swimming right now as if that's all that matters.",exc
2449,It's like single mindedness with no mind.  It's urgency that's pure urge.  They don't know what drives them.  They don't ask it a question or give it a name.,exc
2450,"They just turn as one and start the swim that brings them right here to where we stand, for a massive celebration of sex and death.",exc
2451,"Ah, God, I'm giving myself goose bumps.  Look, all my hairs are popped up.",exc
2452,That's the wind.,xxx
2453,"Well, so what do you think?",neu
2454,About what?,neu
2455,What I was saying.,neu
2456,It's ridiculous.,xxx
2457,"Well, so what do you think?",exc
2458,About what?,neu
2459,What I was saying.,neu
2460,It's ridiculous.,fru
2461,It certainly is not.  It's slightly exaggerated scientific fact.,neu
2462,It's PR.  Somebody sold you a bill of goods that this wonderful event is gonna take place on the beach.,xxx
2463,"Well, I'm not the only one.  Look at all these people.",neu
2464,"Sure, everybody's told the same story.  It keeps us all excited.  It keeps us coming back for more.  It keeps us thinking that life is gonna start any second now if we could just find the right spot and get in on the action.",xxx
2465,Are we talking about the same thing?,xxx
2466,"Well, I'm sorry, but it's still just fish to me.",xxx
2467,"Carla, can I ask you something?  Don't take this wrong, but are you having your period?",neu
2468,"God damn it, Augie, don't ask me that.  I hate it when you ask me that.  You always ask me that.  It's insulting.",ang
2469,"Well, what's bugging you?",fru
2470,We just have different ideas of what this evening is supposed to look like.,ang
2471,"There's nothing to it.  We come here, the grunion arrive, they do their little fish business, we go ooh, ah, look at the fish.  They go home. We go home.",neu
2472,"For heaven sake, we're not going to see the grunions.",fru
2473,Why not?,fru
2474,"We never do, do we?  I mean, have we ever?",fru
2475,We've missed them twice.  That's not ever.,neu
2476,Twice is every time we've tried. That's ever.,fru
2477,"Well, we'll see them this year.",neu
2478,"No, we won't.  It's pointless.  It's like waiting up to see Santa Claus.",fru
2479,"I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up.  And the fish won't show up.",ang
2480,I thought you wanted to see it.,fru
2481,You don't understand anything I'm saying.,fru
2482,"No, of course not.",fru
2483,I did want to see it.  I always do.  I keep thinking that this is gonna be the time and it never is.,fru
2484,It's just fish.  Nothing to get traumatized about.,neu
2485,"For heaven sake, this isn't about fish.",xxx
2486,"All right.  Look, I've been trying to work this backwards, but I cannot seem to figure out the exact moment that we took a turn for the worst.",fru
2487,"I mean, you were-  you were fine during the phone call from Marge.  Dinner was okay.  Doing the dishes was no problem.  Let's see.  I took a shower.  You watched the news.",xxx
2488,"You said, ""Hey the grunion are running tonight.""  I said, ""Great, let's go.  I feel lucky.""",neu
2489,"Okay, so I'm putting on my jacket, putting out the animals, getting the car out of the garage--",neu
2490,"Do you remember the first time we came to see it?  It was about four years ago, right after we got married.",sad
2491,"I thought I was pregnant, you had a bottle of champagne, but no glasses.  You asked me to dance, so we kicked off our shoes and you popped the cork.",sad
2492,"And while we were dancing, you said the softest, most intimate things to me right into my ear so that I could feel them as much as hear them.",sad
2493,"And I remember thinking, this is it.  You know, at last--at last I am as happy as I am supposed to be.",sad
2494,Wait a minute.  I've got it.,neu
2495,"Just dancing barefoot in the sand, drinking champagne out of the bottle.",sad
2496,"It was in the car, right?  Driving past the Knickerbocker Liquor Locker, you said, ""let's get some champagne,"" and I said, ""time's a wasting"" or something like that, right?",neu
